State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Grapes,Other,Medium,07/04/2024,5000,8000.0,7000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,07/04/2024,300,1000.0,800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,07/04/2024,800,1200.0,1000
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,FAQ,07/04/2024,1800,1800.0,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ,07/04/2024,1500,2000.0,1800
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Cabbage,Other,FAQ,07/04/2024,600,1000.0,800
Gujarat,Morbi,Vankaner(Sub yard),Bhindi(Ladies Finger),Other,FAQ,07/04/2024,4000,5000.0,4500
Gujarat,Morbi,Vankaner(Sub yard),Brinjal,Other,FAQ,07/04/2024,2000,3000.0,2500
Gujarat,Morbi,Vankaner(Sub yard),Cabbage,Other,FAQ,07/04/2024,1000,1500.0,1250
Gujarat,Morbi,Vankaner(Sub yard),Capsicum,Other,FAQ,07/04/2024,7000,8000.0,7500
Gujarat,Morbi,Vankaner(Sub yard),Lemon,Other,FAQ,07/04/2024,10000,12000.0,11000
Gujarat,Surat,Surat,Bottle gourd,Other,FAQ,07/04/2024,1000,3500.0,2250
Gujarat,Surat,Surat,Brinjal,Other,FAQ,07/04/2024,600,1500.0,1050
Gujarat,Surat,Surat,Yam (Ratalu),Other,FAQ,07/04/2024,8000,10000.0,9000
Haryana,Jhajar,Jhajjar,Tomato,Other,FAQ,07/04/2024,1900,2100.0,2000
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,07/04/2024,2500,3000.0,2750
Haryana,Jind,Narwana,Peas Wet,Peas Wet,FAQ,07/04/2024,5000,5000.0,5000
Haryana,Jind,Narwana,Tomato,Other,FAQ,07/04/2024,800,2000.0,1500
Haryana,Karnal,Gharaunda,Potato,Other,FAQ,07/04/2024,800,1500.0,1500
Haryana,Mewat,FerozpurZirkha(Nagina),Cauliflower,Other,FAQ,07/04/2024,1400,1800.0,1600
Haryana,Mewat,FerozpurZirkha(Nagina),Onion,Other,FAQ,07/04/2024,2000,2400.0,2200
Haryana,Yamuna Nagar,Chhachrauli,Cabbage,Cabbage,FAQ,07/04/2024,1400,1600.0,1500
Haryana,Yamuna Nagar,Chhachrauli,Cauliflower,Cauliflower,FAQ,07/04/2024,2400,3000.0,2400
Himachal Pradesh,Chamba,Chamba,Cucumbar(Kheera),Other,FAQ,07/04/2024,2000,2500.0,2250
Himachal Pradesh,Chamba,Chamba,Peas Wet,Other,FAQ,07/04/2024,2500,3000.0,2750
Himachal Pradesh,Chamba,Chamba,Raddish,Other,FAQ,07/04/2024,2000,2200.0,2100
Himachal Pradesh,Kangra,Kangra,Apple,Other,Medium,07/04/2024,10000,15000.0,14000
Himachal Pradesh,Kangra,Kangra,Capsicum,Other,FAQ,07/04/2024,7000,7500.0,7200
Himachal Pradesh,Kangra,Kangra,Lemon,Other,FAQ,07/04/2024,12000,13000.0,12500
Himachal Pradesh,Kangra,Kangra,Peas cod,Other,FAQ,07/04/2024,4000,5000.0,4500
Himachal Pradesh,Kangra,Kangra,Pumpkin,Other,FAQ,07/04/2024,2500,3500.0,3000
Himachal Pradesh,Kangra,Kangra,Raddish,Other,FAQ,07/04/2024,1200,1800.0,1500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Brinjal,Brinjal,FAQ,07/04/2024,3000,3500.0,3300
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cabbage,Cabbage,FAQ,07/04/2024,1500,1900.0,1800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Ginger(Green),Green Ginger,FAQ,07/04/2024,15000,16000.0,15600
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Mashrooms,Mashrooms,FAQ,07/04/2024,2000,3200.0,2800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Onion,1st Sort,FAQ,07/04/2024,2500,2800.0,2650
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Pineapple,Other,Medium,07/04/2024,4800,5200.0,5050
Himachal Pradesh,Kangra,Kangra(Jassour),Bitter gourd,Bitter Gourd,FAQ,07/04/2024,7000,8000.0,7500
Himachal Pradesh,Kangra,Kangra(Jassour),Brinjal,Other,FAQ,07/04/2024,2500,3000.0,2750
Himachal Pradesh,Kangra,Kangra(Jassour),Cabbage,Other,FAQ,07/04/2024,1000,1200.0,1100
Himachal Pradesh,Kangra,Kangra(Jassour),Capsicum,Other,FAQ,07/04/2024,6000,6500.0,6250
Himachal Pradesh,Kangra,Kangra(Jassour),Ginger(Green),Other,FAQ,07/04/2024,17000,18000.0,17500
Himachal Pradesh,Kangra,Kangra(Jassour),Mashrooms,Other,FAQ,07/04/2024,11000,13000.0,12000
Himachal Pradesh,Kangra,Kangra(Jassour),Potato,Other,FAQ,07/04/2024,1500,1600.0,1550
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Apple,American,Medium,07/04/2024,11000,14000.0,12000
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Cucumbar(Kheera),Cucumbar,FAQ,07/04/2024,2500,3500.0,3200
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Papaya,Other,Medium,07/04/2024,4000,5000.0,4200
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Potato,Other,FAQ,07/04/2024,1400,1600.0,1500
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Pumpkin,Other,FAQ,07/04/2024,2500,3000.0,2700
Himachal Pradesh,Kangra,Palampur,Garlic,Average,FAQ,07/04/2024,14000,15000.0,14800
Himachal Pradesh,Kangra,Palampur,Grapes,Other,Medium,07/04/2024,8000,10000.0,9500
Himachal Pradesh,Kangra,Palampur,Mashrooms,Other,FAQ,07/04/2024,2000,3000.0,2700
Himachal Pradesh,Kangra,Palampur,Raddish,Raddish,FAQ,07/04/2024,1400,1800.0,1650
Himachal Pradesh,Kullu,Kullu,Bitter gourd,Other,FAQ,07/04/2024,8000,8500.0,8200
Himachal Pradesh,Kullu,Kullu,Cabbage,Other,FAQ,07/04/2024,1600,2000.0,1800
Himachal Pradesh,Kullu,Kullu,Cauliflower,Other,FAQ,07/04/2024,1000,1600.0,1200
Himachal Pradesh,Kullu,Kullu,Cucumbar(Kheera),Other,FAQ,07/04/2024,2200,2700.0,2500
Himachal Pradesh,Kullu,Kullu,Potato,Other,FAQ,07/04/2024,1700,1900.0,1800
Himachal Pradesh,Kullu,Kullu,Squash(Chappal Kadoo),Other,FAQ,07/04/2024,1800,2000.0,1900
Jammu and Kashmir,Kathua,Kathua,Cabbage,Other,FAQ,07/04/2024,1400,1800.0,1600
Jammu and Kashmir,Kathua,Kathua,Mashrooms,Mashrooms,FAQ,07/04/2024,12000,13000.0,12500
Jammu and Kashmir,Kathua,Kathua,Pumpkin,Other,FAQ,07/04/2024,2000,2200.0,2100
